Calories,CaloriesFat,TransFat,Cholesterol,Sodium,Carbohydrates,Sugars,Protein,Fatty
300,120,0,260,750,31,3,17,0
250,70,0,25,770,30,3,18,0
370,200,0,45,780,29,2,14,0
450,250,0,285,860,30,2,21,0
400,210,0,50,880,30,2,21,0
430,210,1,300,960,31,3,26,1
460,230,0,250,1300,38,3,19,0
520,270,0,250,1410,43,4,19,0
410,180,0,35,1300,36,3,20,0
470,220,0,35,1420,42,4,20,0
430,240,0,30,1080,34,2,11,0
480,280,0,30,1190,39,3,11,0
510,290,0,250,1170,36,2,18,0
570,330,0,250,1280,42,3,18,0
460,250,0,35,1180,34,3,18,0
520,280,0,35,1290,40,3,18,0
410,180,0,30,1180,41,3,17,0
470,220,0,30,1290,46,4,17,0
540,290,1,280,1470,38,3,25,1
460,190,0,250,1250,48,15,19,0
400,140,0,35,1250,47,16,20,0
420,200,0,35,1030,44,15,11,0
550,280,0,265,1320,48,15,20,0
500,230,0,50,1320,46,15,21,0
620,280,0,275,1480,57,7,30,0
570,230,0,60,1480,55,8,30,0
670,310,0,295,1510,56,7,33,0
740,430,0,555,1560,51,3,28,0
800,470,0,555,1680,56,3,28,0
640,330,0,35,1590,50,3,26,0
690,370,0,35,1700,55,4,26,0
1090,510,0,575,2150,111,17,36,0
1150,540,0,575,2260,116,17,36,0
990,410,0,55,2170,110,17,35,0
1050,450,0,55,2290,115,18,35,0
350,80,0,20,590,60,14,8,0
520,210,0,50,930,61,14,15,0
300,150,0,115,790,26,2,12,0
150,80,0,0,310,15,0,1,0
460,170,0,15,370,66,32,6,0
290,35,0,5,160,58,32,5,0
260,40,0,5,115,49,18,5,0
530,240,1,85,960,47,9,24,1
520,240,0,95,1100,41,10,30,0
600,260,0,105,1440,48,12,37,0
610,280,0,105,1180,46,10,37,0
540,250,0,85,960,45,9,29,0
750,380,0,160,1280,42,10,48,0
240,70,0,30,480,32,6,12,0
290,100,0,45,680,33,7,15,0
430,190,1,90,1040,35,7,24,1
720,360,0,115,1470,51,14,39,0
380,150,1,75,840,34,7,22,1
440,200,1,90,1110,35,7,27,1
430,200,1,80,760,34,7,22,1
430,210,1,80,1030,35,6,22,1
500,240,0,70,980,44,11,22,0
510,200,0,45,990,55,10,24,0
350,80,0,65,820,42,8,28,0
670,300,0,85,1410,58,11,36,0
510,180,0,105,1250,44,9,40,0
610,250,0,70,1400,57,11,32,0
450,130,0,90,1230,43,9,36,0
750,340,0,90,1720,65,16,36,0
590,230,0,110,1560,51,14,40,0
430,170,0,45,910,43,7,21,0
360,140,0,35,800,40,5,14,0
480,220,0,65,1260,43,6,22,0
430,190,0,50,1260,41,6,20,0
360,150,0,35,990,40,5,14,0
630,280,0,80,1540,56,7,32,0
480,170,0,95,1370,42,6,36,0
610,280,0,65,1340,56,8,27,0
450,160,0,80,1170,42,6,30,0
670,300,0,60,1480,68,12,27,0
520,180,0,80,1320,55,10,31,0
540,200,0,50,1260,61,14,23,0
380,90,0,65,1090,47,12,27,0
190,110,0,25,360,12,0,9,0
280,160,0,40,540,18,0,13,0
470,270,0,65,900,30,0,22,0
940,530,0,135,1800,59,0,44,0
1880,1060,1,265,3600,118,1,87,1
390,170,0,40,590,39,5,15,0
140,70,0,25,300,10,4,9,0
380,190,0,70,860,22,5,25,0
220,80,0,85,690,8,4,29,0
140,40,0,10,150,20,6,6,0
450,190,0,50,850,42,12,23,0
290,80,0,70,680,28,10,27,0
340,130,0,30,780,37,8,14,0
260,70,0,40,700,30,7,16,0
330,130,0,35,730,34,3,14,0
250,70,0,45,650,27,2,16,0
360,180,0,40,810,32,3,15,0
280,120,0,45,720,25,2,16,0
230,100,0,0,130,30,0,2,0
340,140,0,0,190,44,0,4,0
510,220,0,0,290,67,0,6,0
110,50,0,0,65,15,0,1,0
20,0,0,0,10,4,2,1,0
15,0,0,0,0,4,3,0,0
150,20,0,5,70,30,23,4,0
250,110,0,0,170,32,13,2,0
160,70,0,10,90,21,15,2,0
150,50,0,10,135,22,13,2,0
45,10,0,5,20,7,6,1,0
330,80,0,25,170,53,48,8,0
340,70,0,30,150,60,43,7,0
280,60,0,25,85,49,45,6,0
140,0,0,0,0,39,39,0,0
200,0,0,0,5,55,55,0,0
280,0,0,0,5,76,76,0,0
100,0,0,0,0,28,28,0,0
0,0,0,0,10,0,0,0,0
0,0,0,0,20,0,0,0,0
0,0,0,0,35,0,0,0,0
0,0,0,0,15,0,0,0,0
140,0,0,0,45,37,35,0,0
190,0,0,0,65,53,51,0,0
270,0,0,0,90,72,70,0,0
100,0,0,0,30,27,26,0,0
0,0,0,0,70,0,0,2,0
0,0,0,0,100,0,0,3,0
0,0,0,0,140,0,0,4,0
0,0,0,0,50,0,0,1,0
140,0,0,0,30,37,37,0,0
200,0,0,0,45,54,54,0,0
280,0,0,0,60,74,74,0,0
100,0,0,0,25,27,27,0,0
100,20,0,10,125,12,12,8,0
130,0,0,5,135,23,22,9,0
80,0,0,0,15,21,19,0,0
150,0,0,0,0,34,30,2,0
190,0,0,0,0,44,39,3,0
280,0,0,0,5,65,58,4,0
0,0,0,0,0,0,0,0,0
0,0,0,0,10,0,0,0,0
0,0,0,0,10,0,0,0,0
0,0,0,0,15,0,0,0,0
0,0,0,0,5,0,0,0,0
150,0,0,0,10,36,36,1,0
180,0,0,0,10,45,45,1,0
220,0,0,0,10,54,54,1,0
110,0,0,0,5,27,27,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
